feature,f_score,p_value,selected
NKX2-6,237.6071293514814,3.9597855029056435e-41,True
ZNF154,234.85953876142656,8.971620362110274e-41,True
NETO1,219.87267596788945,8.333345652568586e-39,True
HEATR5A,208.00954197952146,3.2844653147445227e-37,True
ZSCAN12L1,199.37351901884128,5.012294286801257e-36,True
FAM38B,189.87188021087246,1.0579576601000971e-34,True
GABRA4,188.11858276811066,1.8684030822050727e-34,True
PON3,182.1060446028878,1.3329869971726552e-33,True
EMR3,181.55039758675872,1.6002493173880484e-33,True
CBLN4,175.3159484380357,1.2604562352527892e-32,True
CYP26C1,164.81439954807544,4.318989036641216e-31,True
LIPH,163.93211397415266,5.831727211051894e-31,True
TMEM156,162.16340472433615,1.0664371191070437e-30,True
EOMES,161.11558169374453,1.5264133526923522e-30,True
SERPINB5,160.18359136543035,2.1012115213369905e-30,True
LNX1,158.5603988781841,3.6713918863704855e-30,True
MMP23B,156.11164813949787,8.550094694038733e-30,True
WDR69,155.21584765168149,1.1661006576597842e-29,True
PHOX2A,151.4492404632231,4.326141188391764e-29,True
TRIM15,150.10254856640853,6.930123021865885e-29,True
ZNF208,149.65580608330163,8.104994750481457e-29,True
MYT1,148.5978291144754,1.1750856014695091e-28,True
ZNF560,148.0612401717334,1.4191297174220892e-28,True
ZNF454,147.85487567504504,1.5260339945111105e-28,True
HIST1H4F,145.8715786304751,3.071819891485983e-28,True
DSCR6,144.14368251517163,5.664058600843197e-28,True
FMO6P,141.7815323624229,1.3120844818156663e-27,True
HTRA4,141.7321749207545,1.335378558012732e-27,True
LOC134466,140.5558262507432,2.032300915050421e-27,True
NKAPL,140.36889033445135,2.1727646158239416e-27,True
ITGB6,138.47888766124137,4.276715388037346e-27,True
TRIM61,134.95384831824794,1.5233434400634215e-26,True
RCC2,134.86166271100237,1.5750021237858998e-26,True
RFPL2,133.71170104266042,2.3888711744919262e-26,True
CD1C,131.44403740365848,5.448205752463586e-26,True
MIR124-2,130.91867491473067,6.598686608030605e-26,True
MEGF11,130.74228798137358,7.037426573515133e-26,True
YJEFN3,127.84935026230006,2.0298183756277252e-25,True
C12orf36,127.59253246174204,2.2306787818966965e-25,True
HABP2,127.53749417990845,2.2762625812491303e-25,True
FFAR2,127.25533650606168,2.52509371331673e-25,True
BASE,126.75751474815482,3.0327576043426585e-25,True
SIM1,126.14810421475404,3.796203431025444e-25,True
MIR663,126.01442237838882,3.9880196415736623e-25,True
SFN,123.6939236259746,9.405095781749795e-25,True
KCNAB3,122.72099308424124,1.3494429054946534e-24,True
PLXNB2,119.60854204728297,4.305343329309641e-24,True
ZNF833,119.02957446508715,5.347087982187242e-24,True
OR51B2,118.5767162379237,6.335964979311937e-24,True
PCDHB19P,118.06182525500222,7.685878287516987e-24,True
LRRC31,116.77770548668161,1.2454031791782766e-23,True
PCYT1B,116.08438054068922,1.6171019013227972e-23,True
OR10G4,115.77021440198293,1.8205090395703873e-23,True
APOBEC1,113.3199499003645,4.6000044041836726e-23,True
VAMP8,112.14402217682098,7.190339778056423e-23,True
HOXD10,110.89018083687883,1.1592167990423662e-22,True
AZGP1,109.93272930019467,1.6708939499573336e-22,True
SRC,109.01236750235383,2.376344830293527e-22,True
CDO1,108.61867656327424,2.7633616779678144e-22,True
NPS,107.85207613567269,3.708557224171052e-22,True
TCTEX1D1,107.66359076230385,3.987069121172194e-22,True
ZNF177,106.79738654543861,5.563590492935683e-22,True
PRR21,106.52656374332182,6.17526960313266e-22,True
GSTP1,106.39488674493609,6.496685758618999e-22,True
SOX1,106.21161631476403,6.972250937586579e-22,True
HHLA2,105.85324662005311,8.0058022135150825e-22,True
OR51I1,105.29635128496129,9.926384036109032e-22,True
ZIK1,104.35196423124073,1.4303134231775733e-21,True
DPP6,103.42052027685543,2.0522848127703175e-21,True
OR5P3,103.37537285675694,2.0885588386354777e-21,True
PCDHB15,102.40188912915173,3.0486729913388784e-21,True
RAX,101.85331958466072,3.774329936914139e-21,True
GNA15,101.49677564471362,4.33683575466212e-21,True
GSTM5,101.47659061003388,4.371093724278625e-21,True
PTPN6,100.8300645300286,5.625051465930115e-21,True
BARHL2,100.27469405510145,6.987977502954087e-21,True
OR8B12,99.77762661784666,8.487677030564701e-21,True
KIR3DX1,99.2029830531118,1.0629848346248723e-20,True
LRRN4CL,97.88438192810882,1.7836176031981952e-20,True
LOC731789,97.13518455144207,2.3951093476013645e-20,True
SYTL3,96.92728968993755,2.599506264845851e-20,True
C20orf151,96.84910782104926,2.68083650901834e-20,True
OC90,95.94845204294496,3.824554380605331e-20,True
SVOP,95.6237175414851,4.348094860157547e-20,True
CASP14,95.41553774953366,4.721079149880543e-20,True
OR4F6,95.28820966268789,4.964904472847205e-20,True
TMPRSS13,94.99529965316799,5.57501071346508e-20,True
OSTCL,94.7756209863058,6.081619045463669e-20,True
S100A8,94.62471112776392,6.456236982512047e-20,True
VAMP5,94.62267633673578,6.461443658017945e-20,True
OR56A4,94.04090864153322,8.137595759840918e-20,True
OR10J1,93.64861756902839,9.508629814341806e-20,True
CLIP3,93.45655736917661,1.0262372737584949e-19,True
LTC4S,93.24410535499183,1.116639304696578e-19,True
HTR2C,93.11884872941945,1.1736498226324307e-19,True
KLHL14,92.83241182663657,1.315274617643342e-19,True
DLGAP2,92.4166142055405,1.5520299447526615e-19,True
KRT8,92.15112604455132,1.7251847614579534e-19,True
POPDC2,92.10148964060784,1.759653258518692e-19,True
HORMAD2,92.08278211815139,1.7728231689441908e-19,True
PRDM14,91.49875838653327,2.237869636538973e-19,True
FER1L4,91.1224713184267,2.6007207811172153e-19,True
ZNF132,91.08463194718775,2.6403374421264016e-19,True
RAB17,91.07145780981072,2.654272382409872e-19,True
TBX15,91.06565765959255,2.660430925396123e-19,True
HIST1H1A,90.32423717842349,3.57871156803907e-19,True
C2orf74,90.03958027903423,4.0107822918189836e-19,True
RBM47,89.74894157502041,4.506163325051846e-19,True
MEI1,89.18850700376535,5.642039262776168e-19,True
TERC,88.93532623083011,6.245747328595256e-19,True
VSTM1,88.59068747463382,7.173388064180934e-19,True
