feature,f_score,p_value,selected
hsa-mir-183,450.65859046180344,1.6313632537002193e-64,True
hsa-mir-182,328.5238071137117,5.127966282403906e-52,True
hsa-mir-96,278.543388994832,3.14284877872034e-46,True
hsa-mir-200a,235.90951036388626,6.560447335798665e-41,True
hsa-mir-1307,217.01401280317015,2.0053714811745305e-38,True
hsa-mir-141,200.5839973719599,3.411900069792099e-36,True
hsa-mir-200b,191.45108225207844,6.348858592838242e-35,True
hsa-mir-429,187.68260123631492,2.1528772970769227e-34,True
hsa-mir-200c,182.3854822294972,1.2160366385473773e-33,True
hsa-mir-130b,171.38232776633208,4.6958807628163226e-32,True
hsa-mir-15b,159.80372943949382,2.393955683283864e-30,True
hsa-mir-484,146.21199339547465,2.723683134089441e-28,True
hsa-mir-425,139.08900307412304,3.43592257536791e-27,True
hsa-mir-106b,131.58472553868603,5.175926632186804e-26,True
hsa-mir-210,130.21112876966316,8.544057987917529e-26,True
hsa-mir-1301,127.77572162997501,2.0854683148611814e-25,True
hsa-mir-16,122.96196017452515,1.2339298359557017e-24,True
hsa-mir-18a,115.61913121990125,1.9273066055375635e-23,True
hsa-mir-191,111.34095781490997,9.761742788031278e-23,True
hsa-mir-148b,110.59887695198472,1.295501695604817e-22,True
hsa-mir-93,105.61798857004487,8.76679420620264e-22,True
hsa-mir-139,104.24251232778592,1.4922432493686851e-21,True
hsa-mir-331,97.13403693984421,2.396192060331464e-20,True
hsa-mir-345,96.16429854900984,3.512121454007873e-20,True
hsa-mir-1976,94.23440513339976,7.536421436108444e-20,True
hsa-mir-324,89.03669687030605,5.996594524963335e-19,True
hsa-mir-205,88.5131360203719,7.400551797058895e-19,True
hsa-mir-202,84.9328251971775,3.141619920224064e-18,True
hsa-mir-671,82.49034561079812,8.485569151109085e-18,True
hsa-mir-766,80.26269397725923,2.1112570568060515e-17,True
hsa-mir-3613,77.93381836984328,5.5049809974082825e-17,True
hsa-mir-4746,74.76603144169528,2.0457207623368987e-16,True
hsa-mir-744,74.631209505037,2.1637729795747372e-16,True
hsa-mir-15a,74.59784876694326,2.194027268715272e-16,True
hsa-mir-185,74.28060185043715,2.5038809812193755e-16,True
hsa-mir-940,71.07577126096521,9.56782341616516e-16,True
hsa-mir-454,68.76621522000025,2.531518764437172e-15,True
hsa-mir-107,67.7232642291233,3.935886993813308e-15,True
hsa-mir-3074,66.35649264419749,7.0308866896802194e-15,True
hsa-mir-877,64.89341640336801,1.311426740191878e-14,True
hsa-mir-501,63.34490727864094,2.5435451988780128e-14,True
hsa-mir-1266,63.11256728343272,2.810015288607521e-14,True
hsa-mir-143,63.003150419138144,2.9450658068973105e-14,True
hsa-mir-128,62.65646180632617,3.4176607559444785e-14,True
hsa-mir-7,62.57329782947077,3.54194960736732e-14,True
hsa-mir-197,60.96445702380122,7.080159421434358e-14,True
hsa-mir-3615,60.83062781717007,7.501081323053131e-14,True
hsa-mir-301a,60.699126852326124,7.939209627587053e-14,True
hsa-mir-32,58.56438756262247,2.0009325046498286e-13,True
hsa-mir-423,57.85737815137091,2.7208887667268164e-13,True
hsa-mir-769,57.631515000944134,3.0019750372384493e-13,True
hsa-mir-140,57.18631156942913,3.644557324714896e-13,True
hsa-mir-133a,55.32750297763959,8.212625609148059e-13,True
hsa-mir-135b,55.118789459714776,8.999417160304437e-13,True
hsa-mir-106a,54.54237584666962,1.1589537821741574e-12,True
hsa-mir-145,54.010497703443505,1.4641605037601621e-12,True
hsa-mir-330,53.27198850780373,2.0267745997282717e-12,True
hsa-mir-340,52.04394157318998,3.4856851194802584e-12,True
hsa-mir-100,51.946263249622845,3.639601264875307e-12,True
hsa-mir-196b,51.596221177823544,4.249579344405732e-12,True
hsa-mir-17,51.158448621191994,5.159392979243488e-12,True
hsa-mir-3200,49.83601015949499,9.28450950694363e-12,True
hsa-mir-590,49.75935531018096,9.606811426435774e-12,True
hsa-mir-98,48.552047961035555,1.6460193937419062e-11,True
hsa-mir-133b,48.28681442404586,1.8531965178377324e-11,True
