feature,f_score,p_value,selected
ENSG00000273348.1,972.327645207297,2.858391239799085e-102,True
ENSG00000108381.11,735.3693927715461,1.9901573519559106e-87,True
ENSG00000102271.14,699.4907251814886,6.723532235241825e-85,True
ENSG00000226237.2,607.5917887275247,5.303846968408222e-78,True
ENSG00000225398.3,607.4228152672613,5.468623032987136e-78,True
ENSG00000196616.14,571.1820820990222,4.4027051803273004e-75,True
ENSG00000282840.1,508.8822837787788,8.313133669497604e-70,True
ENSG00000258537.5,489.07620846144886,4.768690420223796e-68,True
ENSG00000165966.16,480.60770649727397,2.774475384634597e-67,True
ENSG00000204071.10,466.1969247477784,5.793020361546095e-66,True
ENSG00000280339.1,451.66831913324836,1.3106518951158557e-64,True
ENSG00000154678.18,440.4084907238353,1.5292992392183672e-63,True
ENSG00000169946.14,439.2154047111088,1.988161106245847e-63,True
ENSG00000134201.12,429.3350906642816,1.7739267634330621e-62,True
ENSG00000070808.16,421.16348129501074,1.1073923239650918e-61,True
ENSG00000197083.11,399.55464845961046,1.5465858260828023e-59,True
ENSG00000158445.10,378.80635191502404,2.0360572401334765e-57,True
ENSG00000109906.14,374.03319927087233,6.382772469981919e-57,True
ENSG00000245025.3,370.1998198454276,1.6067036734775305e-56,True
ENSG00000112936.19,357.9445789321937,3.179486534580135e-55,True
ENSG00000225342.2,343.9955404277015,1.0137718887148707e-53,True
ENSG00000266010.2,341.73115519256135,1.7902342691784325e-53,True
ENSG00000244953.1,340.20767696200727,2.6274412055028465e-53,True
ENSG00000133800.9,333.31274913580864,1.5077486567183396e-52,True
ENSG00000165995.22,333.0530815248861,1.6108582396726141e-52,True
ENSG00000163792.6,330.14000165893276,3.3892862980458996e-52,True
ENSG00000122420.10,320.9703112915348,3.599506515054092e-51,True
ENSG00000255727.2,320.1856687692984,4.412744234373962e-51,True
ENSG00000138356.14,316.65437775527704,1.1070215946745796e-50,True
ENSG00000286039.1,311.7041541084289,4.052665385796803e-50,True
ENSG00000276923.1,310.2725156772692,5.9092429205442675e-50,True
ENSG00000174740.8,305.10985485571393,2.318427710888364e-49,True
ENSG00000100307.13,300.75775408285546,7.40205757309082e-49,True
ENSG00000144891.18,300.71489790421157,7.48745200309955e-49,True
ENSG00000143196.5,293.88818652236466,4.7006433119369246e-48,True
ENSG00000280323.1,292.25176148291,7.322856180835845e-48,True
ENSG00000234638.1,291.405534299133,9.213692973925522e-48,True
ENSG00000165072.10,286.6709461500096,3.349867949833981e-47,True
ENSG00000198932.13,284.366973542382,6.300320720517248e-47,True
ENSG00000173068.18,283.84473419714044,7.27255150102864e-47,True
ENSG00000115896.16,282.2877986891417,1.116354881488933e-46,True
ENSG00000080854.16,281.57642769357096,1.3582963080931716e-46,True
ENSG00000141052.18,279.82823929282387,2.201756099606243e-46,True
ENSG00000134533.6,275.9849283899964,6.397933762210218e-46,True
ENSG00000141338.14,273.83474405670796,1.1654297500369769e-45,True
ENSG00000127083.7,272.889418146907,1.518029833648356e-45,True
ENSG00000128573.26,267.0706149639567,7.794838705024599e-45,True
ENSG00000112214.10,266.3435642193568,9.573383831091228e-45,True
ENSG00000104043.15,265.11683205378307,1.3549145251991335e-44,True
ENSG00000249249.2,264.8834013930866,1.447606886979033e-44,True
ENSG00000166405.15,262.59930218380947,2.769775206909304e-44,False
ENSG00000069431.11,261.32878739638227,3.977901517317759e-44,False
ENSG00000235151.1,259.7897774796352,6.173516767689709e-44,False
ENSG00000137727.12,259.55709237000656,6.598337774254941e-44,False
ENSG00000259134.7,259.0189127115976,7.697064787370831e-44,False
ENSG00000173208.4,258.691621551011,8.453445672801927e-44,False
ENSG00000182253.15,255.92515602139386,1.8707753347129867e-43,False
ENSG00000114200.10,253.3461599385468,3.936226578603374e-43,False
ENSG00000181234.9,253.28209246111575,4.009806528303316e-43,False
ENSG00000277954.1,253.26637244929412,4.028070981709162e-43,False
ENSG00000146477.6,252.80863115356615,4.5982328205751554e-43,False
ENSG00000106809.11,251.4112777703125,6.8925336114894066e-43,False
ENSG00000141448.11,249.86221232694137,1.0807856319101847e-42,False
ENSG00000256650.1,249.33170599799828,1.261138289948388e-42,False
ENSG00000276141.4,246.4219139697199,2.947537697847073e-42,False
ENSG00000253875.2,243.68854146000905,6.568659681364175e-42,False
ENSG00000101057.16,242.31022342432198,9.85341412221832e-42,False
ENSG00000186642.16,241.81857434417145,1.1389554020791116e-41,False
ENSG00000149575.9,239.16438022336177,2.495211140668122e-41,False
ENSG00000277494.2,238.57677584683273,2.969774840786236e-41,False
ENSG00000136546.16,237.2012638330552,4.4671831182101487e-41,False
ENSG00000256508.2,236.83325145622712,4.983612009285079e-41,False
ENSG00000114698.15,236.47768411205664,5.539581111526821e-41,False
ENSG00000169218.14,235.56822052142206,7.262600918300428e-41,False
ENSG00000241158.7,234.6974135294271,9.416360360443963e-41,False
ENSG00000234456.8,234.59666853543598,9.70382789341653e-41,False
ENSG00000153902.14,234.4049149223661,1.0275602480248355e-40,False
ENSG00000198838.14,230.95701574448344,2.886120895498243e-40,False
ENSG00000283383.1,229.66624792814375,4.255188332785132e-40,False
ENSG00000165197.5,228.5795070559465,5.9043206117740444e-40,False
ENSG00000185686.18,228.3301864021181,6.365664477792753e-40,False
ENSG00000204403.9,228.14637654542085,6.728859963928059e-40,False
ENSG00000175063.17,225.61237303984035,1.4486150214921091e-39,False
ENSG00000047648.23,224.74431985648056,1.885274155414973e-39,False
ENSG00000081189.16,222.88844643133663,3.31587338164522e-39,False
ENSG00000278727.1,221.575647654664,4.94941159272988e-39,False
ENSG00000224958.6,219.6113128074667,9.028313827681291e-39,False
ENSG00000140285.12,217.78205008867178,1.5832076920541522e-38,False
ENSG00000197776.8,216.94564946615358,2.048043908770541e-38,False
ENSG00000223561.7,215.04913208708652,3.6768172543377885e-38,False
ENSG00000250056.8,214.6956401862131,4.101439234686928e-38,False
ENSG00000284693.1,213.77282272731276,5.457435631135061e-38,False
ENSG00000173258.13,213.68640903781125,5.605516793477096e-38,False
ENSG00000138685.17,212.75204635403975,7.48947734449571e-38,False
